ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.173.208.2,ns2.kirz.com.,TH,Bangkok,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:16:41Z
211.111.172.71,a01.kuwoo.co.kr.,KR,,,,false,1.00,2018-04-05T15:46:33Z,2015-01-06T01:17:00Z
125.206.34.39,i125-206-34-39.s30.a048.ap.plala.or.jp.,JP,Tokyo,,,false,1.00,2018-04-05T15:46:30Z,2015-01-06T01:18:02Z
60.249.20.40,mails.jonggong.com.tw.,TW,Taichung,,,false,1.00,2018-04-05T15:46:30Z,2015-01-06T01:19:04Z
70.62.10.244,media.wlio.com.,US,Marysville,,,false,1.00,2018-04-05T15:46:28Z,2015-01-06T01:19:53Z
121.143.44.29,,KR,Seoul,dnsmasq-2.33,,false,1.00,2018-04-05T15:46:30Z,2015-01-06T01:21:41Z
216.106.1.3,ns2.socket.net.,US,Columbia,9.9.5-3ubuntu0.7-Ubuntu,,false,0.62,2018-04-05T15:46:28Z,2015-01-06T01:21:42Z
195.129.111.14,bbcache00.ns.eu.uu.net.,,,,,true,1.00,2018-04-05T15:46:28Z,2015-01-06T01:22:33Z
60.251.182.127,hueking.com.tw.,TW,Datong,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2018-04-05T15:46:30Z,2015-01-06T01:23:02Z
197.96.139.74,,ZA,Johannesburg,,,false,1.00,2018-04-05T15:46:30Z,2015-01-06T01:25:02Z
176.35.67.99,176-35-67-99.xdsl.murphx.net.,GB,,,,true,1.00,2018-04-05T15:46:29Z,2015-01-06T01:25:29Z
121.65.255.175,,KR,,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2018-04-05T15:46:34Z,2015-01-06T01:25:54Z
185.14.234.242,242-234.customer.interconnect.cz.,CZ,Vlci Habrina,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:26:05Z
